name,games played,minutes,pts,reb,asts,turnover,fgm
BUDDDA01  ,353,6389,2505,1623,337,0,962
BUDKOWA01 ,253,1126,2037,684,471,0,684
BUECHJU01 ,720,8446,2385,1266,560,297,961
BUFORRO01 ,230,4184,1472,598,179,140,630
BULLAMA01 ,615,8884,3270,1223,535,319,1215
BUNCELA01 ,129,3070,1142,821,94,192,386
BUNCHGR01 ,12,97,28,17,4,5,9
BUNTDI01  ,26,271,92,28,17,0,29
BUNTIBI01 ,145,1939,623,417,95,5,214
BUNTIBI02 ,42,713,324,252,36,0,118
BURDELU01 ,71,2181,1413,202,131,181,561
BURDELU01 ,63,623,349,66,63,0,149
BURKEPA01 ,127,1294,468,266,44,87,199
BURKMRO01 ,6,30,5,6,5,3,0
BURKSAN01 ,81,791,186,49,104,48,79
BURLEKE01 ,39,342,70,26,48,25,22
BURLETO01 ,446,9425,4190,2794,601,236,1568
BURMAJA01 ,61,0,598,0,179,0,237
BURNSDA01 ,9,87,23,5,15,13,7
BURNSEV01 ,23,143,56,30,9,7,22
BURNSJI01 ,36,403,159,62,25,42,54
BURRESC01 ,383,7592,2647,1332,527,337,971
BURRIAR01 ,74,514,187,205,54,0,70
BURROBO01 ,81,1199,459,357,47,0,159
BURROJU01 ,61,495,189,109,15,40,64
BURTOED01 ,15,70,33,18,3,0,14
BURTOWI01 ,316,6666,3243,932,393,517,1090
BURTTST01 ,101,1121,584,92,123,110,218
BUSEDO01  ,648,17070,4485,1507,2920,601,1829
BUSEDO01  ,318,9110,2405,1058,1505,395,949
BUSTIDA01 ,47,355,158,101,21,54,58
BUTCHDO01 ,279,5085,1696,821,585,0,610
BUTLEAL01 ,234,5055,2282,696,530,0,930
BUTLECA01 ,486,17718,8112,2906,1477,1124,2985
BUTLEGR01 ,55,210,76,53,4,24,28
BUTLEJA01 ,69,849,343,205,30,73,137
BUTLEMI01 ,362,5464,1868,717,342,353,707
BUTLEMI02 ,245,4554,2158,375,504,125,790
BUTLERA01 ,475,10989,3941,1257,392,343,1499
