,college,count
1207,PAOK (Greece),1
1208,Cibona Zagreb (Croatia),1
1209,Guangdong Southern Tigers (China),1
1210,Eastern Washington,1
1211,Fortitudo Bologna (Italy),1
1212,Joventut Badalona (Spain),1
1214,Tapiolan Honka (Finland),1
1213,TAU Cer?mica (Spain),1
1192,Efes Pilsen (Turkey),1
1191,Snaidero Udine (Italy),1
1190,RheinEnergie K?ln (Germany),1
1189,"Westchester HS (Los Angeles, CA) HS",1
1176,"Skyline HS (Dallas, TX) HS",1
1177,"IMG Academy (Bradenton, FL) HS",1
1222,Mega Ishrana (Serbia),1
1221,Olympia Larissa (Greece),1
1220,Townsville Crocodiles (Australia),1
1219,Maroussi (Greece),1
1178,?lkerspor (Turkey),1
1179,"Lanier HS (Jackson, MS) HS",1
1218,Akasvayu Girona (Spain),1
1180,KK Split (Croatia),1
1181,KK Reflex (Serbia and Montenegro),1
1182,?algiris (Lithuania),1
1217,Beijing Olympians (ABA),1
1216,?iroki Brijeg (Bosnia and Herzegovina),1
1183,"South Gwinnett HS (Snellville, GA) HS",1
1184,Climamio Bologna (Italy),1
1186,"South Kent Prep. School (South Kent, CT) HS",1
1187,Walsh (),1
1188,Louisiana-Lafayette (),1
1130,Opel Skyliners,1
1128,Kinder Bologna,1
1127,Forward,1
1062,Benedict (SC),1
1054,Partizan,1
1055,Pau Orthez (Romania),1
1056,None (Argentina),1
1057,Missouri-Kansas City,1
1058,NW Oklahoma State,1
1254,CB Gran Canaria (Spain),1
1253,Tulsa 66ers (D-League),1
1060,St Mary's (Canada),1
1061,St John's,1
1063,Ohio St,1
1251,Ole Miss,1
1064,Belgrade (Yugoslavia),1
1065,Farragut Academy (IL),1
1067,Seward Couty CC,1
1071,Georgetown (DC),1
1072,Memphis (TN),1
1073,Lower Merion (PA) HS,1
1075,Eau Claire (SC) HS,1
1252,CB Murcia (Spain),1
1076,Kalev Tallin (Estonia),1
1053,Christopher Newport,1
1052,Slippery Rock,1
1255,STB Le Havre (France),1
1051,Elizabeth City State,1
1028,SE Oklahoma State,1
1029,Zagreb (Yugoslavia),1
1030,Southwestern (TX),1
1031,Kiev Institute (Soviet Union),1
1032,Dyke (OH),1
1033,David Lipscomb (TN),1
1035,(Soviet Union),1
1037,Central Arkansas,1
1038,Millersville State,1
1039,None (China),1
1040,None (Greece),1
1041,Barcelona (Spain),1
1042,Vilnius Lithuania (Soviet Union),1
1043,Virginia Military Institute,1
1044,Turin (Italy),1
1048,Trinity Valley,1
1049,Virtus Roma (Yugoslavia),1
1050,Benetton Treviso (Yugoslavia),1
1256,UTEP,1
1077,Central St/Greece,1
1078,West Florida,1
1126,Northeast Mississippi CC,1
1114,Glynn Academy HS,1
1106,St. Paul's (VA),1
1107,East St Louis (IL) HS,1
1108,Washington Union (CA) HS,1
1109,Louisiana-Monroe,1
1110,Nigeria,1
1111,College of Sequoias,1
1243,"BC Dnipro (Ukraine, 2nd div.)",1
1242,Central Florida,1
1241,"CB Prat (Spain, 3rd div.)",1
1115,Dominguez HS,1
1079,Mississippi Valley St,1
1116,Thornwood HS,1
1118,Oak Hill Academy HS,1
1119,Charlotte,1
1120,Okaloosa-Walton CC,1
1121,SMU,1
1122,St. Jude HS,1
1123,Shanghai Sharks,1
1238,Pamesa Valencia (Spain),1
1125,Cypress Creek HS (Fla.),1
1104,Martin Luther King (IL) HS,1
1103,Augsburg (MN),1
1244,MB? Mykolaiv (Ukraine),1
1245,Saint Mary's (CA),1
1250,Brose Baskets (Germany),1
1082,Southern Cal,1
1084,Cal State Bakersfield,1
1086,Butler County (KS) CC,1
1087,Partizan-Belgrade,1
1249,USF,1
1248,Cholet Basket (France),1
1247,Tennessee-Martin,1
1088,Villeurbanne-France,1
1089,Indian Hills (IA) CC,1
1090,FC Barcelona-Spain,1
1091,Saint Louis,1
1094,St. Patrick's HS,1
1095,Alief Elsik HS,1
1098,Hargrave Military Acadamy,1
1246,Saint Joseph's,1
1099,Picayune (MS) HS,1
1100,Miami(OH),1
1101,Barton County CC,1
901,Salem (WV),1
633,Tennessee Polytechnic,1
899,Hartwick,1
415,(Southern Illinois) Floridians,1
417,(Davidson) Pittsburgh,1
418,(Missouri) Floridians,1
419,(Louisville) Floridians,1
420,(Manhattan redshirt) Pittsburgh,1
421,(Lemoyne - Owen) Pittsburgh,1
422,(Texas Tech) Floridians,1
423,(West Texas State redshirt) Floridians,1
424,(Hawaii) Floridians,1
427,Southwest Louisiana,1
435,Boston U.,1
442,College of Emporia,1
443,Stonehill (MA),1
444,Bethel,1
446,Skagit Valley JC (WA),1
448,S.W. Louisiana,1
455,Yankton (SD),1
459,Virginia State (redshirt),1
460,Wichita State (redshirt),1
461,Denver (redshirt),1
416,(Oklahoma) Floridians,1
414,(West Virginia) Pittsburgh,1
466,Bridgewater State (MA),1
413,(Kentucky Wesleyan) Floridians,1
382,St. Johns,1
383,Nazarene,1
384,Lemoyne-Owen Bryan,1
387,Manhattan (redshirt),1
389,Mexico,1
395,California State - Los Angeles,1
396,California State,1
397,Hardin-Simmons (redshirt),1
402,(Long Beach State) Pittsburgh,1
403,(UCLA redshirt) Floridians,1
404,(Santa Clara redshirt) Floridians,1
405,(Texas,1
406,(Pacific) Pittsburgh,1
407,(Jacksonville) Floridians,1
408,(St. Benedict's) Pittsburgh,1
409,(Southern California) Pittsburgh,1
410,(Wyoming) Floridians,1
411,(Lafayette) Floridians,1
412,(California Riverside) Floridians,1
464,Illinois (redshirt),1
468,N.E. Massachusetts,1
376,Vanderbilt (redshirt),1
521,Springfield College,1
526,Humboldt State,1
528,Whittenberg,1
536,East Central State,1
537,Kansas Wesleyan,1
540,Washington U. (MO),1
544,Denver JC,1
546,Missouri Valley,1
547,Emporia State,1
548,Southwest Missouri,1
552,Muhlenberg,1
554,NE Missouri,1
556,East Central Oklahoma,1
558,Southwestern (KS),1
559,Morris Harvey,1
561,Appalachian,1
564,Swarthmore,1
576,Indiana Central,1
577,Arkansas Polytechnic,1
578,King's,1
524,Colorado/Wyoming,1
518,Washington & Jefferson,1
469,Hardin,1
517,York,1
474,Capitol,1
477,Philadelphia,1
478,West Georgia State,1
482,Detroit:,1
483,Petersburg HS (VA),1
484,Southern Idaho,1
485,Maryland Eastern Shore,1
487,Aurora (IL),1
488,Hardin Simmons,1
489,Winston Salem,1
490,Nevada Las Vegas,1
492,Gardner Webb,1
496,Carson Newman,1
498,Dwight Morrow H.S. Englewood NJ,1
503,Ohio U.,1
506,Randolph,1
510,NE Missouri State Teachers College,1
514,Findlay,1
516,Norfolk Naval Training Center,1
380,Marshall (redshirt),1
375,Nichols State,1
898,Mercyhurst,1
161,Cedarville (OH),1
176,Massacusetts,1
177,Lenoir-Rhyne,1
178,Eastern Carolina,1
187,C. W. Post,1
200,Carroll (MT),1
201,Stout (WI),1
203,Milliken,1
205,Missouri at St. Louis,1
212,Central (OH) State,1
213,Jackson State (MS),1
215,Mercer (GA),1
216,Troy State (AL),1
217,Mt. St. Mary's (MD),1
221,Fairmont State (WV),1
225,Westmar (IA),1
228,Biscayne (FL),1
230,Xavier (Ohio),1
231,Cheney State (PA),1
232,Winston - Salem,1
166,St. Cloud (MN),1
160,St. Benedict (KS),1
235,Delta State (MS),1
152,Texas-EI Paso,1
12,Colorado State University,1
32,Pan-American,1
35,Otterbein,1
48,Rockburst,1
52,Midwestern University,1
62,Kentucky Western,1
67,Virginia Poly Institute,1
73,Amherst,1
80,Tennessee.,1
106,Westminster (Utah),1
107,Albany (GA) State,1
113,Southeastern Louisiana,1
114,Lane College,1
118,Central Missouri,1
120,American University,1
128,Howard - Payne,1
131,St. Marys of the Plains,1
141,Pembroke,1
145,Southeast Missouri,1
233,Cheyney (PA) State,1
237,Northwestern Louisiana,1
374,Penn Military,1
321,Southwest Oklahoma,1
323,Henderson,1
325,Lemoyne,1
329,Southern State,1
330,Suffolk (MA),1
336,St. John's (redshirt),1
343,Indiana State (PA),1
344,Jackson State (redshirt),1
345,Montclair State,1
346,Mt. St. Mary's.,1
347,Colorado State (redshirt),1
350,Tulsa (redshirt),1
351,Oklahoma:,1
352,Fayetteville State,1
354,Illinois Sate,1
361,Murray State (KY),1
362,Santa Clara (redshirt),1
364,UCLA (redshirt),1
366,West Texas State (redshirt),1
368,Westmont (redshirt),1
322,E. Carolina,1
320,St. Leo College (FL),1
240,Grove City (PA),1
319,DePauw (redshirt),1
241,Southhampton (NY),1
242,Morehead State (KY),1
248,Ashland State,1
250,Yankon,1
257,Fort Valley State (GA),1
282,McMurry College,1
287,Ashland (CO),1
291,Adams State (CO),1
293,Carson - Newman,1
295,Northwest Louisiana State,1
297,Adolphus Broadus,1
